objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,20161214_180658.jpg,,,Andalusian Landscape,Bryon Maxey,2016-07,"Aerial view of mountainous Andalusian landscape above Malaga, Granada, Spain.",Lorem Ipsum,"Malaga, Spain",36.765,-4.4119,Bryon Maxey Personal Photographs,20161214_180658.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll002,20161214_184027.jpg,,,Alhambra Palace,Bryon Maxey,2016-07,Lorem Ipsum,Lorem Ipsum,"Granada, Spain",,,Bryon Maxey Personal Photographs,20161214_184027.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll003,20161215_090232_hdr.jpg,,,Lorem Ipsum,Bryon Maxey,2016-07,Lorem Ipsum,Lorem Ipsum,"Granada, Spain",,,Bryon Maxey Personal Photographs,20161215_090232_hdr.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll004,20161215_090246.jpg,,,Zaouiat Sidi Ahmed Tijani,Bryon Maxey,2016-07,Lorem Ipsum,Lorem Ipsum,"Fez, Morocco",34.0664719,-4.9734271,Bryon Maxey Personal Photographs,20161215_090246.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll005,20160710_091205.jpg,,,Zaouiat Sidi Ahmed Tijani,Bryon Maxey,2016-07,Lorem Ipsum,Lorem Ipsum,"Fez, Morocco",34.0664719,-4.9734271,Bryon Maxey Personal Photographs,20160710_091205.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll006,20160710_153943_pano.jpg,,,Lorem Ipsum,Bryon Maxey,2016-07,Lorem Ipsum,Lorem Ipsum,"Fez, Morocco",,,Bryon Maxey Personal Photographs,20160710_153943_pano.jpg,StillImage,image/jpeg,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll007,20160710_162309_Pano.jpg,,,Lorem Ipsum,Bryon Maxey,2016-07,Lorem Ipsum,Lorem Ipsum,"Fez, Morocco",,,Bryon Maxey Personal Photographs,20160710_162309_Pano.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll008,20160712_085157.jpg,,,Lorem Ipsum,Bryon Maxey,2016-07,Lorem Ipsum,Lorem Ipsum,"Fez, Morocco",,,Bryon Maxey Personal Photographs,20160712_085157.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll009,20160712_085355.jpg,,,Lorem Ipsum,Bryon Maxey,2016-07,Lorem Ipsum,Lorem Ipsum,"Fez, Morocco",,,Bryon Maxey Personal Photographs,20160712_085355.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll010,20160712_113824.jpg,,,Lorem Ipsum,Bryon Maxey,2016-07,Lorem Ipsum,Lorem Ipsum,"Fez, Morocco",,,Bryon Maxey Personal Photographs,20160712_113824.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll011,20160712_115107_hdr.jpg,,,Lorem Ipsum,Bryon Maxey,2016-07,Lorem Ipsum,Lorem Ipsum,"Fez, Morocco",,,Bryon Maxey Personal Photographs,20160712_115107_hdr.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll012,20160713_074616.jpg,,,Lorem Ipsum,Bryon Maxey,2016-07,Lorem Ipsum,Lorem Ipsum,"Fez, Morocco",,,Bryon Maxey Personal Photographs,20160713_074616.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll013,20160713_075247.jpg,,,Mosquée Médina Baye Niasse,Bryon Maxey,2016-12,Lorem Ipsum,Lorem Ipsum,"Kaolack, Senegal",14.1606812,-16.0626373,Bryon Maxey Personal Photographs,20160713_075247.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll014,20160713_075611.jpg,,,Lorem Ipsum,Bryon Maxey,2016-12,Lorem Ipsum,Lorem Ipsum,"Gorée Island, Senegal",14.6744,-17.4048,Bryon Maxey Personal Photographs,20160713_075611.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll015,20160713_075936.jpg,,,Lorem Ipsum,Bryon Maxey,2016-12,Lorem Ipsum,Lorem Ipsum,"Gorée Island, Senegal",14.6677,-17.39727,Bryon Maxey Personal Photographs,20160713_075936.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll016,20160713_080049.jpg,,,Lorem Ipsum,Bryon Maxey,2016-12,Lorem Ipsum,Lorem Ipsum,"Gorée Island, Senegal",14.6677,-17.39727,Bryon Maxey Personal Photographs,20160713_080049.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll017,20161213_193546_pano.jpg,,,Lorem Ipsum,Bryon Maxey,2016-12,Lorem Ipsum,Lorem Ipsum,"Gorée Island, Senegal",,,Bryon Maxey Personal Photographs,20161213_193546_pano.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll018,20161214_172724.jpg,,,Lorem Ipsum,Bryon Maxey,2016-12,Lorem Ipsum,Lorem Ipsum,"Dakar, Senegal",,,Bryon Maxey Personal Photographs,20161214_172724.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll019,20161214_180546_hdr.jpg,,,Lorem Ipsum,Bryon Maxey,2016-12,Lorem Ipsum,Lorem Ipsum,"Dakar, Senegal",,,Bryon Maxey Personal Photographs,20161214_180546_hdr.jpg,StillImage,image/jpeg ,eng,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
